================================================================
PDF ZAAP — MASTER KEYWORD FILE (for AI input)
Site: PDF Zaap (pdfzaap.com) — 100% FREE online PDF tools, no signup, no watermark
Target: USA + UK | Language: English | Total: 130 keywords
Volumes = estimated USA/UK monthly searches (Sep 2026). Priority: P0=quick win (do first),
P1=medium term, P2=pillar head term (long term).
USAGE: Paste this file (or one CLUSTER section) into ChatGPT/Claude/Gemini
along with a prompt from pdf-zaap-ai-prompts-guide.md
================================================================

---------- TOP 30 QUICK WINS (start here — high volume + low competition) ----------
1. compress pdf to 100kb (USA 18,500 | Low comp | P0 | Tool page)
2. compress pdf to 200kb (USA 14,800 | Low | P0 | Tool page)
3. summarize pdf with ai free (USA 12,400 | Low | P0 | Tool page)
4. compress pdf to 1mb (USA 12,100 | Low | P0 | Tool page)
5. pdf to word without losing formatting (USA 9,800 | Low | P0 | Tool page)
6. extract pages from pdf online free (USA 9,200 | Low | P0 | Tool page)
7. pdf to text converter online (USA 9,100 | Low | P0 | Tool page)
8. merge pdf files without losing quality (USA 8,900 | Low | P0 | Tool page)
9. shrink pdf file size (USA 8,100 | Low | P0 | Tool page)
10. make scanned pdf searchable (USA 7,600 | Low | P0 | Tool page)
11. convert google docs to pdf (USA 7,200 | Low | P0 | Tool page)
12. how to reduce pdf file size without losing quality (USA 6,800 | Low | P0 | Blog)
13. combine multiple pdfs into one document (USA 6,800 | Low | P0 | Tool page)
14. convert scanned pdf to word editable (USA 6,700 | Low | P0 | Tool page)
15. compress pdf to 500kb (USA 6,600 | Low | P0 | Tool page)
16. edit pdf text online (USA 6,400 | Low | P0 | Tool page)
17. rotate pdf pages online free (USA 6,100 | Low | P0 | Tool page)
18. join pdf files online free (USA 5,900 | Low | P0 | Tool page)
19. add text to pdf online free (USA 5,900 | Low | P0 | Tool page)
20. extract tables from pdf to excel free (USA 5,600 | Low | P0 | Tool page)
21. add watermark to pdf online (USA 5,600 | Low | P0 | Tool page)
22. convert heic to pdf iphone (USA 5,600 | Low | P0 | Tool page)
23. reduce pdf size to 100kb (USA 5,400 | Low | P0 | Tool page)
24. convert pdf to google docs editable (USA 5,400 | Low | P0 | Tool page)
25. combine jpg and pdf into one file (USA 5,400 | Low | P0 | Tool page)
26. compress pdf to 50kb (USA 4,900 | Low | P0 | Tool page)
27. add signature to pdf iphone (USA 4,900 | CPC $3.20 | Low | P0 | Tool page)
28. pdf size reducer online free (USA 4,900 | Low | P0 | Tool page)
29. redact pdf online free (USA 4,800 | CPC $3.60 | Low | P0 | Tool page)
30. ai pdf reader summarize (USA 4,800 | Low | P0 | Tool page)

==================== FULL LIST BY CLUSTER ====================

--- CLUSTER 1: Compress – Exact Size (HIGHEST PRIORITY — programmatic pages) ---
Format: keyword | USA vol | UK vol | comp | KD | CPC$ | priority
compress pdf to 100kb | 18500 | 3900 | Low | 12 | 0.85 | P0
compress pdf to 200kb | 14800 | 3200 | Low | 11 | 0.80 | P0
compress pdf to 1mb | 12100 | 2700 | Low | 13 | 0.82 | P0
compress pdf to 500kb | 6600 | 1400 | Low | 9 | 0.65 | P0
reduce pdf size to 100kb | 5400 | 1100 | Low | 8 | 0.60 | P0
compress pdf to 50kb | 4900 | 900 | Low | 7 | 0.55 | P0
compress pdf to 300kb | 4400 | 950 | Low | 8 | 0.60 | P0
compress pdf to 2mb | 3900 | 820 | Low | 8 | 0.62 | P0
reduce pdf file size to 200kb | 3600 | 750 | Low | 6 | 0.55 | P0
compress pdf for email attachment under 10mb | 2400 | 520 | Low | 7 | 0.90 | P0
shrink pdf to 100kb | 2100 | 450 | Low | 5 | 0.50 | P0
reduce pdf size below 100kb | 1900 | 400 | Low | 5 | 0.52 | P0
compress pdf to 100kb online free without losing quality | 1800 | 380 | Low | 4 | 0.55 | P0
compress pdf to 150kb | 1500 | 320 | Low | 4 | 0.50 | P0
compress pdf to 5mb | 1200 | 260 | Low | 5 | 0.55 | P0

--- CLUSTER 2: Compress – General (pillar: /compress-pdf) ---
compress pdf without losing quality | 22200 | 4800 | Medium | 38 | 1.10 | P1
reduce pdf file size online free | 18100 | 3900 | Medium | 35 | 1.00 | P1
shrink pdf file size | 8100 | 1700 | Low | 18 | 0.70 | P0
pdf size reducer online free | 4900 | 1050 | Low | 14 | 0.68 | P0
compress pdf on iphone free | 4100 | 850 | Low | 15 | 0.75 | P0
compress scanned pdf without losing quality | 3300 | 700 | Low | 12 | 0.95 | P0
reduce pdf size on mac without app | 2800 | 600 | Low | 11 | 0.70 | P0
compress pdf without watermark free unlimited | 2600 | 540 | Low | 10 | 0.65 | P0

--- CLUSTER 3: Merge & Combine (pillar: /merge-pdf) ---
merge pdf online free | 201000 | 44000 | High | 82 | 1.40 | P2
combine pdf files into one free | 33500 | 7200 | Medium | 42 | 1.15 | P1
merge pdf files without losing quality | 8900 | 1900 | Low | 19 | 0.90 | P0
combine multiple pdfs into one document | 6800 | 1450 | Low | 17 | 0.85 | P0
join pdf files online free | 5900 | 1250 | Low | 16 | 0.75 | P0
combine jpg and pdf into one file | 5400 | 1100 | Low | 13 | 0.70 | P0
merge pdf on iphone free without app | 4700 | 900 | Low | 14 | 0.80 | P0
merge pdf with images online | 3100 | 650 | Low | 11 | 0.65 | P0
merge large pdf files online free no limit | 2300 | 480 | Low | 9 | 0.85 | P0
combine pdf mac preview alternative online | 1700 | 360 | Low | 8 | 0.70 | P0

--- CLUSTER 4: Split / Extract / Organize (pillar: /split-pdf) ---
split pdf into separate pages | 14800 | 3100 | Medium | 32 | 1.05 | P1
extract pages from pdf online free | 9200 | 1950 | Low | 18 | 0.90 | P0
split pdf by pages online free | 7400 | 1550 | Low | 16 | 0.85 | P0
remove pages from pdf online free | 6800 | 1420 | Low | 15 | 0.85 | P0
rotate pdf pages online free | 6100 | 1280 | Low | 15 | 0.60 | P0
extract tables from pdf to excel free | 5600 | 1180 | Low | 17 | 1.60 | P0
extract images from pdf high quality | 4500 | 950 | Low | 14 | 0.75 | P0
reorder pdf pages online | 2800 | 590 | Low | 9 | 0.65 | P0
split pdf without losing quality | 2600 | 550 | Low | 9 | 0.75 | P0
delete pages from pdf on iphone | 2300 | 470 | Low | 10 | 0.70 | P0
delete blank pages from pdf automatically | 2100 | 440 | Low | 7 | 0.70 | P0
split large pdf into smaller files by size | 1900 | 400 | Low | 8 | 0.80 | P0

--- CLUSTER 5: PDF to Office (pillars: /pdf-to-word, /pdf-to-excel) ---
pdf to word | 368000 | 74000 | High | 88 | 1.80 | P2
pdf to excel | 74500 | 15800 | High | 68 | 1.70 | P2
pdf to powerpoint converter free | 18200 | 3800 | Medium | 34 | 1.25 | P1
pdf to word converter free without signup | 12400 | 2600 | Medium | 28 | 1.20 | P1
pdf to word without losing formatting | 9800 | 2050 | Low | 19 | 1.35 | P0
pdf to text converter online | 9100 | 1900 | Low | 20 | 0.85 | P0
pdf to excel converter free accurate | 8900 | 1850 | Medium | 26 | 1.65 | P1
convert scanned pdf to word editable | 6700 | 1400 | Low | 18 | 1.50 | P0
convert pdf to google docs editable | 5400 | 1120 | Low | 16 | 1.10 | P0
pdf to epub converter | 4600 | 980 | Low | 14 | 0.70 | P0
convert pdf table to excel without losing formatting | 4300 | 900 | Low | 15 | 1.80 | P0
convert pdf to html | 3900 | 820 | Low | 15 | 0.80 | P0
pdf to word on iphone free | 3800 | 780 | Low | 13 | 1.00 | P0
pdf to csv from bank statement | 2800 | 620 | Low | 12 | 2.40 | P0
convert pdf to editable word on mac free | 2100 | 440 | Low | 10 | 1.05 | P0

--- CLUSTER 6: Office/Image to PDF (pillars: /jpg-to-pdf, /word-to-pdf) ---
jpg to pdf | 165000 | 34000 | High | 78 | 0.90 | P2
word to pdf | 135000 | 28000 | High | 75 | 1.30 | P2
png to pdf converter online | 18400 | 3850 | Medium | 30 | 0.72 | P1
jpg to pdf converter multiple images one file | 11200 | 2350 | Medium | 22 | 0.75 | P1
word to pdf converter free without watermark | 9800 | 2050 | Medium | 24 | 1.00 | P1
convert web page to pdf | 8100 | 1700 | Medium | 27 | 1.05 | P1
convert google docs to pdf | 7200 | 1500 | Low | 18 | 0.90 | P0
html to pdf converter | 6800 | 1420 | Medium | 25 | 1.20 | P1
convert heic to pdf iphone | 5600 | 1050 | Low | 16 | 0.85 | P0
excel to pdf fit to one page | 4700 | 980 | Low | 14 | 1.10 | P0
image to pdf without losing quality | 3900 | 820 | Low | 12 | 0.68 | P0
powerpoint to pdf with notes | 2600 | 550 | Low | 11 | 0.85 | P0
svg to pdf converter | 2200 | 460 | Low | 9 | 0.70 | P0
convert tiff to pdf | 1800 | 380 | Low | 7 | 0.75 | P0

--- CLUSTER 7: Edit / Sign / Fill (HIGH CPC $$$ — pillars: /edit-pdf, /sign-pdf) ---
edit pdf online free | 90500 | 18500 | High | 72 | 2.80 | P2
